Date,HRU,ID.x,ASP,ID.y,Manual
1970-02-14,101,2F05P,202.7,NA,NA
1970-02-15,101,2F05P,208.3,NA,NA
1970-02-16,101,2F05P,210.1,NA,NA
1970-02-17,101,2F05P,210.6,NA,NA
1970-02-18,101,2F05P,223.5,NA,NA
1970-02-19,101,2F05P,223.5,NA,NA
1970-02-20,101,2F05P,224.3,NA,NA
1970-02-21,101,2F05P,225.3,NA,NA
1970-02-22,101,2F05P,225.3,NA,NA
1970-02-23,101,2F05P,225.3,NA,NA
1970-02-24,101,2F05P,225.3,NA,NA
1970-02-25,101,2F05P,225.8,NA,NA
1970-02-26,101,2F05P,225.8,NA,NA
1970-02-27,101,2F05P,226.6,NA,NA
1970-02-28,101,2F05P,226.6,NA,NA
1970-03-01,101,2F05P,226.6,NA,NA
1970-03-02,101,2F05P,226.1,NA,NA
1970-03-03,101,2F05P,226.1,NA,NA
1970-03-04,101,2F05P,226.1,NA,NA
1970-03-05,101,2F05P,227.3,NA,NA
1970-03-06,101,2F05P,227.3,NA,NA
1970-03-07,101,2F05P,228.6,NA,NA
1970-03-08,101,2F05P,232.4,NA,NA
1970-03-09,101,2F05P,233.7,NA,NA
1970-03-10,101,2F05P,235,NA,NA
1970-03-11,101,2F05P,237.5,NA,NA
1970-03-12,101,2F05P,240,NA,NA
1970-03-13,101,2F05P,242.6,NA,NA
1970-03-14,101,2F05P,246.4,NA,NA
1970-03-15,101,2F05P,248.9,NA,NA
1970-03-16,101,2F05P,251.5,NA,NA
1970-03-17,101,2F05P,254,NA,NA
1970-03-18,101,2F05P,257.8,NA,NA
1970-03-19,101,2F05P,260.4,NA,NA
1970-03-20,101,2F05P,262.9,NA,NA
1970-03-21,101,2F05P,266.7,NA,NA
1970-03-22,101,2F05P,269.2,NA,NA
1970-03-23,101,2F05P,271.8,NA,NA
1970-03-24,101,2F05P,274.3,NA,NA
1970-03-25,101,2F05P,278.1,NA,NA
1970-03-26,101,2F05P,280.7,NA,NA
1970-03-27,101,2F05P,284.5,NA,NA
1970-03-28,101,2F05P,287,NA,NA
1970-03-29,101,2F05P,292.1,NA,NA
1970-03-30,101,2F05P,297.2,NA,NA
1970-03-31,101,2F05P,302.3,NA,NA
1970-04-01,101,2F05P,307.3,NA,NA
1970-04-02,101,2F05P,312.4,NA,NA
1970-04-03,101,2F05P,317.5,NA,NA
1970-04-04,101,2F05P,322.6,NA,NA
1970-04-05,101,2F05P,327.7,NA,NA
1970-04-06,101,2F05P,332.7,NA,NA
1970-04-07,101,2F05P,337.8,NA,NA
1970-04-08,101,2F05P,342.9,NA,NA
1970-04-09,101,2F05P,348,NA,NA
1970-04-10,101,2F05P,354.3,NA,NA
1970-04-11,101,2F05P,351.8,NA,NA
1970-04-12,101,2F05P,353.1,NA,NA
1970-04-13,101,2F05P,356.9,NA,NA
1970-04-14,101,2F05P,359.4,NA,NA
1970-04-15,101,2F05P,359.4,NA,NA
1970-04-16,101,2F05P,355.6,NA,NA
1970-04-17,101,2F05P,353.1,NA,NA
1970-04-18,101,2F05P,353.1,NA,NA
1970-04-19,101,2F05P,355.6,NA,NA
1970-04-20,101,2F05P,360.7,NA,NA
1970-04-21,101,2F05P,374.7,NA,NA
1970-04-22,101,2F05P,379.7,NA,NA
1970-04-23,101,2F05P,381,NA,NA
1970-04-24,101,2F05P,381,NA,NA
1970-04-25,101,2F05P,386.1,NA,NA
1970-04-26,101,2F05P,384.8,NA,NA
1970-04-27,101,2F05P,388.6,NA,NA
1970-04-28,101,2F05P,383.5,NA,NA
1970-04-29,101,2F05P,378.5,NA,NA
1970-04-30,101,2F05P,374.7,NA,NA
1970-05-01,101,2F05P,370.8,NA,NA
1970-05-02,101,2F05P,366.3,NA,NA
1970-05-03,101,2F05P,362.7,NA,NA
1970-05-04,101,2F05P,358.1,NA,NA
1970-05-05,101,2F05P,354.3,NA,NA
1970-05-06,101,2F05P,350.5,NA,NA
1970-05-07,101,2F05P,346.2,NA,NA
1970-05-08,101,2F05P,342.1,NA,NA
1970-05-09,101,2F05P,337.8,NA,NA
1970-05-10,101,2F05P,333.2,NA,NA
1970-05-11,101,2F05P,329.4,NA,NA
1970-05-12,101,2F05P,325.6,NA,NA
1970-05-13,101,2F05P,322.1,NA,NA
1970-05-14,101,2F05P,320,NA,NA
1970-05-15,101,2F05P,309.9,NA,NA
1970-05-16,101,2F05P,297.2,NA,NA
1970-05-17,101,2F05P,286.5,NA,NA
1970-05-18,101,2F05P,274.8,NA,NA
1970-05-19,101,2F05P,263.7,NA,NA
1970-05-20,101,2F05P,252.7,NA,NA
1970-05-21,101,2F05P,240.8,NA,NA
1970-05-22,101,2F05P,226.1,NA,NA
1970-05-23,101,2F05P,210.8,NA,NA
1970-05-24,101,2F05P,196.1,NA,NA
1970-05-25,101,2F05P,182.9,NA,NA
1970-05-26,101,2F05P,165.1,NA,NA
1970-05-27,101,2F05P,160,NA,NA
1970-05-28,101,2F05P,154.9,NA,NA
1970-05-29,101,2F05P,142.2,NA,NA
1970-05-30,101,2F05P,129.5,NA,NA
1970-05-31,101,2F05P,116.8,NA,NA
1970-06-01,101,2F05P,102.9,NA,NA
1970-06-02,101,2F05P,90.7,NA,NA
1970-06-03,101,2F05P,78.2,NA,NA
1970-06-04,101,2F05P,65.3,NA,NA
1970-06-05,101,2F05P,52.8,NA,NA
1970-06-06,101,2F05P,40.4,NA,NA
1970-06-07,101,2F05P,27.2,NA,NA
1970-06-08,101,2F05P,13.2,NA,NA
1970-10-17,101,2F05P,0,NA,NA
1970-10-18,101,2F05P,0,NA,NA
1970-10-19,101,2F05P,0,NA,NA
1970-10-20,101,2F05P,1.3,NA,NA
1970-10-21,101,2F05P,1.3,NA,NA
1970-10-22,101,2F05P,8.9,NA,NA
1970-10-23,101,2F05P,21.6,NA,NA
1970-10-24,101,2F05P,25.4,NA,NA
1970-10-25,101,2F05P,27.2,NA,NA
1970-10-26,101,2F05P,27.4,NA,NA
1970-10-27,101,2F05P,27.9,NA,NA
1970-10-28,101,2F05P,27.9,NA,NA
1970-10-29,101,2F05P,27.9,NA,NA
1970-10-30,101,2F05P,28.7,NA,NA
1970-10-31,101,2F05P,28.7,NA,NA
1970-11-01,101,2F05P,29.2,NA,NA
1970-11-02,101,2F05P,30,NA,NA
1970-11-03,101,2F05P,30.5,NA,NA
1970-11-04,101,2F05P,30.5,NA,NA
1970-11-05,101,2F05P,30.5,NA,NA
1970-11-06,101,2F05P,30.5,NA,NA
1970-11-07,101,2F05P,30.7,NA,NA
1970-11-08,101,2F05P,31,NA,NA
1970-11-09,101,2F05P,33,NA,NA
1970-11-10,101,2F05P,36.8,NA,NA
1970-11-11,101,2F05P,53.3,NA,NA
1970-11-12,101,2F05P,59.7,NA,NA
1970-11-13,101,2F05P,64.8,NA,NA
1970-11-14,101,2F05P,69.1,NA,NA
1970-11-15,101,2F05P,69.1,NA,NA
1970-11-16,101,2F05P,69.3,NA,NA
1970-11-17,101,2F05P,69.8,NA,NA
1970-11-18,101,2F05P,71.1,NA,NA
1970-11-19,101,2F05P,76.2,NA,NA
1970-11-20,101,2F05P,81.3,NA,NA
1970-11-21,101,2F05P,86.4,NA,NA
1970-11-22,101,2F05P,91.4,NA,NA
1970-11-23,101,2F05P,96.5,NA,NA
1970-11-24,101,2F05P,101.6,NA,NA
1970-11-25,101,2F05P,106.7,NA,NA
1970-11-26,101,2F05P,111.8,NA,NA
1970-11-27,101,2F05P,116.8,NA,NA
1970-11-28,101,2F05P,121.9,NA,NA
1970-11-29,101,2F05P,127,NA,NA
1970-11-30,101,2F05P,132.1,NA,NA
1970-12-01,101,2F05P,137.2,NA,NA
1970-12-02,101,2F05P,142.2,NA,NA
1970-12-03,101,2F05P,143,NA,NA
1970-12-04,101,2F05P,144.8,NA,NA
1970-12-05,101,2F05P,149.9,NA,NA
1970-12-06,101,2F05P,152.9,NA,NA
1970-12-07,101,2F05P,157.5,NA,NA
1970-12-08,101,2F05P,160,NA,NA
1970-12-09,101,2F05P,161,NA,NA
1970-12-10,101,2F05P,161,NA,NA
1970-12-11,101,2F05P,161.3,NA,NA
1970-12-12,101,2F05P,172.7,NA,NA
1970-12-13,101,2F05P,172.7,NA,NA
1970-12-14,101,2F05P,173.2,NA,NA
1970-12-15,101,2F05P,173.2,NA,NA
1970-12-16,101,2F05P,174.5,NA,NA
1970-12-17,101,2F05P,177.3,NA,NA
1970-12-18,101,2F05P,182.1,NA,NA
1970-12-19,101,2F05P,185.4,NA,NA
1970-12-20,101,2F05P,188,NA,NA
1970-12-21,101,2F05P,190.2,NA,NA
1970-12-22,101,2F05P,190.5,NA,NA
1970-12-23,101,2F05P,190.5,NA,NA
1970-12-24,101,2F05P,192.3,NA,NA
1970-12-25,101,2F05P,200.7,NA,NA
1970-12-26,101,2F05P,205.7,NA,NA
1970-12-27,101,2F05P,205.7,NA,NA
1970-12-28,101,2F05P,206.8,NA,NA
1970-12-29,101,2F05P,210.8,NA,NA
1970-12-30,101,2F05P,215.9,NA,NA
1970-12-31,101,2F05P,217.7,NA,NA
1971-01-01,101,2F05P,220.2,NA,NA
1971-01-02,101,2F05P,222.3,NA,NA
1971-01-03,101,2F05P,224.3,NA,NA
1971-01-04,101,2F05P,226.1,NA,NA
1971-01-05,101,2F05P,228.6,NA,NA
1971-01-06,101,2F05P,235,NA,NA
1971-01-07,101,2F05P,242.6,NA,NA
1971-01-08,101,2F05P,250.2,NA,NA
